Date	Time	Severity	PID	TID	Function	Message
28-07-2024	22:30:09.913	 INFO	 34240	 31052	DllMain	"DLL_PROCESS_ATTACH Wed May 29 23:13:48 2024 11.3.2416.6"
28-07-2024	22:30:09.935	 INFO	 34240	 13932	LateInitialization	"Intialization..."
28-07-2024	22:30:09.937	 INFO	 34240	 13932	LateInitialization	"Exe = C:\Users\vignesh.muruganandan\AppData\Local\Programs\Git\usr\bin\bash.exe"
28-07-2024	22:30:09.939	 INFO	 34240	 13932	LateInitialization	"IsExplorer = 0"
28-07-2024	22:30:09.941	 INFO	 34240	 13932	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
28-07-2024	22:30:09.945	 INFO	 34240	 13932	LateInitialization	"Intialization finished"
28-07-2024	22:51:25.081	 INFO	 26420	 22700	DllMain	"DLL_PROCESS_ATTACH Wed May 29 23:13:48 2024 11.3.2416.6"
28-07-2024	22:51:25.091	 INFO	 26420	 33528	LateInitialization	"Intialization..."
28-07-2024	22:51:25.093	 INFO	 26420	 33528	LateInitialization	"Exe = C:\Users\vignesh.muruganandan\AppData\Local\Programs\Git\usr\bin\bash.exe"
28-07-2024	22:51:25.096	 INFO	 26420	 33528	LateInitialization	"IsExplorer = 0"
28-07-2024	22:51:25.097	 INFO	 26420	 33528	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
28-07-2024	22:51:25.100	 INFO	 26420	 33528	LateInitialization	"Intialization finished"
28-07-2024	23:55:56.492	 INFO	 13964	 17504	DllMain	"DLL_PROCESS_ATTACH Wed May 29 23:13:48 2024 11.3.2416.6"
28-07-2024	23:55:56.508	 INFO	 13964	 27060	LateInitialization	"Intialization..."
28-07-2024	23:55:56.511	 INFO	 13964	 27060	LateInitialization	"Exe = C:\Users\vignesh.muruganandan\AppData\Local\Programs\Git\usr\bin\bash.exe"
28-07-2024	23:55:56.513	 INFO	 13964	 27060	LateInitialization	"IsExplorer = 0"
28-07-2024	23:55:56.516	 INFO	 13964	 27060	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
28-07-2024	23:55:56.519	 INFO	 13964	 27060	LateInitialization	"Intialization finished"
